Index, Date, Time, Data 
00100, 2019-07-22, 12:14:24.447362, 016dd78dc359f345
00101, 2019-07-22, 12:14:24.557518, 016ddd4ac31ef380
00102, 2019-07-22, 12:14:24.667444, 016de30c29c2c2f314
00103, 2019-07-22, 12:14:24.777491, 016dea0ce0c26cf4b2
00104, 2019-07-22, 12:14:24.887489, 016df00b9fc17df41e
00105, 2019-07-22, 12:14:24.997473, 016df70b2bc24ff1d6
00106, 2019-07-22, 12:14:25.107459, 016dfd0cc465f286
00107, 2019-07-22, 12:14:25.217492, 016e030cd3c4aff2c5
00108, 2019-07-22, 12:14:25.327002, 016e
00109, 2019-07-22, 12:14:25.436987, 
00110, 2019-07-22, 12:14:25.547135, aec45ef098
00111, 2019-07-22, 12:14:25.657767, 016e100c26c424f3b6
00112, 2019-07-22, 12:14:25.767469, 016e170c5cc2d2f260
00113, 2019-07-22, 12:14:25.877439, 016e1d0c1ec183f244
00114, 2019-07-22, 12:14:25.987440, 016e240ccfc1e1f2ad
00115, 2019-07-22, 12:14:26.097438, 016e2a0c56c292f35d
00116, 2019-07-22, 12:14:26.207465, 016e300cacc28ef318
00117, 2019-07-22, 12:14:26.327663, 016e370c54c1eff364
00118, 2019-07-22, 12:14:26.447455, 016e3d0c5cc339f314
00119, 2019-07-22, 12:14:26.557485, 016e440cb1c415f1aa
00120, 2019-07-22, 12:14:26.667411, 016e4a0c40c2c3f233
00121, 2019-07-22, 12:14:26.777412, 016e510bb4c498f272
00122, 2019-07-22, 12:14:26.887143, 016e57
00123, 2019-07-22, 12:14:26.997328, 72c2faf23a
00124, 2019-07-22, 12:14:27.107402, 016e5d0b7fc1f9f32f
00125, 2019-07-22, 12:14:27.227358, 016e640bc4c198f3cc
00126, 2019-07-22, 12:14:27.337043, 016e6a
00127, 2019-07-22, 12:14:27.447227, f2c1b4f2f3
00128, 2019-07-22, 12:14:27.567453, 016e710b5bc35ff2ba
00129, 2019-07-22, 12:14:27.677412, 016e770bf2c291f2aa
00130, 2019-07-22, 12:14:27.797323, 016e7e98c3d3f3fa
00131, 2019-07-22, 12:14:27.907392, 016e84e6c417f3f2
00132, 2019-07-22, 12:14:28.017702, 016e8af2c274f320
00133, 2019-07-22, 12:14:28.127545, 016e910e13c334f2bc
00134, 2019-07-22, 12:14:28.237559, 016e970b6bc133f44a
00135, 2019-07-22, 12:14:28.357385, 016e9e0b38c24bf383
00136, 2019-07-22, 12:14:28.477420, 016ea40b0cc23ff1cc
00137, 2019-07-22, 12:14:28.587436, 016eaaecc43af3e4
00138, 2019-07-22, 12:14:28.697890, 016eb10b58c3cdf16e
00139, 2019-07-22, 12:14:28.807494, 016eb70b88c3b3f2fa
00140, 2019-07-22, 12:14:28.917464, 016ebe0c3bc2a8f398
00141, 2019-07-22, 12:14:29.027535, 016ec45ec13bf28b
00142, 2019-07-22, 12:14:29.137497, 016ecb71bfcff200
00143, 2019-07-22, 12:14:29.247491, 016ed10c7fc228f0ed
00144, 2019-07-22, 12:14:29.357422, 016ed70cc5c32ff2af
00145, 2019-07-22, 12:14:29.467610, 016ede69c4c0f39c
00146, 2019-07-22, 12:14:29.577485, 016ee40ccdc3f9f309
00147, 2019-07-22, 12:14:29.687418, 016eeb26c3d9f2a0
00148, 2019-07-22, 12:14:29.797557, 016ef101c1d2f2cc
00149, 2019-07-22, 12:14:29.907445, 016ef80c3ac27df2b5
00150, 2019-07-22, 12:14:30.017442, 016efe0bc3c25af2c0
00151, 2019-07-22, 12:14:30.127569, 016f040c40c245f3a4
00152, 2019-07-22, 12:14:30.237043, 016f0b
00153, 2019-07-22, 12:14:30.347121, e8c302f19c
00154, 2019-07-22, 12:14:30.467367, 016f110b1bc461f17a
00155, 2019-07-22, 12:14:30.577523, 016f180b9bc41af1e5
00156, 2019-07-22, 12:14:30.687562, 016f1e62c35ef354
00157, 2019-07-22, 12:14:30.797609, 016f2546c29bf431
00158, 2019-07-22, 12:14:30.907487, 016f2b0c5ac1b6f482
00159, 2019-07-22, 12:14:31.017511, 016f310ba2c120f470
00160, 2019-07-22, 12:14:31.127096, 016f38
00161, 2019-07-22, 12:14:31.247092, ebc243f43d
00162, 2019-07-22, 12:14:31.367416, 016f3e0bafc2b1f337
00163, 2019-07-22, 12:14:31.477466, 016f450b57c2e9f2d8
00164, 2019-07-22, 12:14:31.587456, 016f4b0bc5c343f22f
00165, 2019-07-22, 12:14:31.697629, 016f520cfac2c2f0ee
00166, 2019-07-22, 12:14:31.807644, 016f580c45c276f1c8
00167, 2019-07-22, 12:14:31.917546, 016f5e09cfc3dbf41d
00168, 2019-07-22, 12:14:32.027010, 016f65
